"","Farm","FLOCKCODE","DISTRICT","SEX","AGE","WORKERNO.x","experience","EDLEVEL","CHICKENTOTAL","Week_raising","feed_plus_ofeed","feedpricec_kg","X.week_with_medical_feed","per_week_anti","num_anti_used","DOC.FLOCK","numbersellsum","type.vaccine.use","mortality.y","morta_end","Otherflock_class","Other_animal_class","ave_body_weight","Revenue.flock","ROI.flock","GPM.flock","Ocost.COST.FLOCK","average_ADDkg_per.1000.chicken_week","num_week_anti"
"1","75-001","75-0011","Thap Muoi","F",49,1,"1","PostHighSchool",210,27,1,"11355.55556","0.296296296","0.19",5,3200000,"200",5,"0.07","0.02970297",1,1,"1.5",28380000,"2.606710158","0.722739018","358666.6667","307.9495923",5
"2","75-001","75-0012","Thap Muoi","F",49,1,"1","PostHighSchool",204,24,1,"11200","0.375","0.24",4,2000000,"78",5,"0.32","0.073333333",1,1,"1.6",12520000,"1.104201681","0.524760383","215000","348.6928923",6
"3","75-001","75-0013","Thap Muoi","F",49,1,"1","PostHighSchool",202,18,1,"11933.33333","0.444444444","0.16",2,2400000,"117",5,"0.39","0.008064516",1,1,"1.8",21000000,"1.071721008","0.517309524","4096000","1072.594032",3
"4","75-001","75-0014","Thap Muoi","F",49,1,"1","PostHighSchool",240,20,1,"10850","0.8","0.2",4,2640000,"85",3,"0.65","0.625550661",1,1,"1.53",13000000,"0.434561907","0.302923077","394000","427.9348303",4
"5","75-002","75-0021","Thap Muoi","M",32,2,"2.5","HighSchool",505,18,1,"11276.19048","0.666666667","0.22",3,6750000,"484",5,"0.04","0",1,0,"1.4",49787000,"2.213128649","0.688776856","375666.6667","203.0331852",4
"6","75-002","75-0022","Thap Muoi","M",32,1,"2.5","HighSchool",505,22,1,"11226.08696","0.590909091","0.18",2,6250000,"500",5,"0.31","0.122807018",1,1,"1.5",45000000,"1.939735424","0.659833333","270000","137.3909767",4
"7","75-002","75-0023","Thap Muoi","M",32,1,"2.5","HighSchool",600,17,0,"11200","0.470588235","0",0,6600000,"530",5,"0.12","0.036363636",1,0,"1.7",63070000,"3.305560296","0.767742191","345000","0",0
"8","75-002","75-0024","Thap Muoi","M",32,1,"2.5","HighSchool",510,21,1,"11445.45455","1.047619048","0.33",4,5500000,"400",5,"0.22","0.183673469",1,1,"1.7",47248000,"2.158235992","0.68336755","340000","122.1137216",7
"9","75-003","75-0031","Thap Muoi","M",65,1,"1","PostHighSchool",406,14,1,"11453.33333","1.071428571","0.21",1,5700000,"NA",4,"0.99","1",1,1,"1.5",1,"-0.999999921","-12648999","100000","45.72334785",3
"10","75-004","75-0041","Thap Muoi","F",37,1,"7","PostHighSchool",715,18,0,"11452.63158","1.055555556","0.22",4,9100000,"650",4,"0.09","0.009146341",1,1,"1.8",76823000,"3.186919793","0.761160937","383333.3333","531.1061417",4
"11","75-004","75-0042","Thap Muoi","F",37,1,"7","PostHighSchool",1300,20,0,"11442.10526","0.95","0.35",6,13000000,"331",5,"0.75","0.630580357",1,1,"1.6",40379000,"0.645905515","0.39243171","990000","377.1994662",7
"12","75-004","75-0043","Thap Muoi","F",37,1,"7","PostHighSchool",1002,17,0,"10911.11111","1.058823529","0.29",4,8500000,"895",4,"0.11","0.062827225",0,1,"1.5",100093000,"4.696683058","0.824459253","1142000","93.58448517",5
"13","75-005","75-0051","Thap Muoi","M",31,3,"3","SecondarySchool",110,19,1,"11166.66667","0.263157895","0.1",3,1200000,"30",5,"0.63","0.054794521",1,1,"1.6",3324000,"-0.505416022","-1.021901324","125000","890.7939625",2
"14","75-005","75-0052","Thap Muoi","M",31,2,"3","SecondarySchool",200,25,1,"11200","0.28","0.33",7,2400000,"141",5,"0.21","0.036585366",1,1,"1.6",13178000,"0.569253211","0.362754212","452000","154.0895629",9
"15","75-006","75-0061","Thap Muoi","M",56,1,"5","HighSchool",102,18,1,"11200","0.444444444","0.48",8,1400000,"79",4,"0.14","0.096153846",0,1,"1.5",8250000,"0.206334352","0.171042424","0","752.0240816",10
"16","75-006","75-0062","Thap Muoi","M",56,1,"5","HighSchool",105,22,1,"11300","0.409090909","0.44",8,1300000,"30",2,"0.71","0",1,1,"1.4",3389500,"-0.485347707","-0.943059448","155000","212.33032",12
"17","75-008","75-0081","Thap Muoi","M",39,2,"1","HighSchool",600,18,0,"11564.70588","0.944444444","0.17",3,7200000,"180",4,"0.7","0.653846154",1,1,"1.5",18606000,"-0.113957808","-0.128614425","4050000","734.5549172",3
"18","75-008","75-0082","Thap Muoi","M",39,1,"1","HighSchool",600,18,0,"10189.47368","0.222222222","0",0,4800000,"215",5,"0.63","0.083333333",0,0,"1.9",26650000,"1.230816236","0.551733583","115000","0",0
"19","75-009","75-0091","Thap Muoi","M",49,1,"4","SecondarySchool",153,21,1,"11492.30769","0.619047619","0.14",2,1800000,"140",5,"0.08","0",1,1,"1.7",16900000,"1.588649766","0.613698225","35000","260.1097861",3
"20","75-010","75-0101","Thap Muoi","M",56,2,"5","PrimarySchool",410,19,1,"11470.58824","0.473684211","0.1",2,4400000,"220",6,"0.46","0.166666667",0,1,"1.7",23400000,"1.119213295","0.528126781","113333.3333","326.0182978",2
"21","75-011","75-0111","Thap Muoi","M",26,1,"3","HighSchool",102,16,0,"11400","1","0.25",4,1200000,"50",4,"0.51","0.468085106",1,1,"1.5",5500000,"-0.172559049","-0.208545455","NA","1076.862554",4
"22","75-011","75-0112","Thap Muoi","M",26,2,"3","HighSchool",300,19,1,"11184","0.842105263","0.32",4,3600000,"260",4,"0.01","0",1,1,"1.5",26400000,"1.054954464","0.513371212","580000","751.6410773",6
"23","75-012","75-0121","Thap Muoi","M",24,1,"1","HighSchool",204,11,1,"10709.09091","1","0.75",7,2400000,"188",2,"0","0",1,1,"1.2",15000000,"1.129119254","0.530322222","326666.6667","1344.476538",11
"24","75-012","75-0122","Thap Muoi","M",24,1,"1","HighSchool",500,19,1,"11000","1","0.81",14,4000000,"240",3,"0.5","0.431818182",1,1,"1.3",19190000,"0.392564282","0.281900295","403333.3333","965.6987698",19
"25","75-012","75-0123","Thap Muoi","M",24,1,"1","HighSchool",200,15,1,"11000","0.933333333","0.35",5,1600000,"175",4,"0.1","0.076923077",1,1,"1.4",17010000,"1.656567234","0.623574368","30000","1061.850202",6
"26","75-012","75-0124","Thap Muoi","M",24,1,"1","HighSchool",400,14,1,"11230.76923","0.928571429","0.44",7,5200000,"298",5,"0.24","0.128571429",1,1,"1.6",33000000,"1.836391766","0.647439394","320000","647.7968984",7
"27","75-012","75-0125","Thap Muoi","M",24,2,"1","HighSchool",400,16,1,"11237.5","1","0.33",6,4400000,"355",3,"0.11","0.013888889",1,1,"1.5",39552000,"2.88564692","0.742642597","NA","709.0986358",6
"28","75-013","75-0131","Thap Muoi","M",39,2,"1","SecondarySchool",150,17,1,"11087.5","0.411764706","0.33",5,1800000,"142",4,"0.05","0.040540541",1,1,"1.8",18607000,"1.638729348","0.62102972","NA","281.1831399",6
"29","75-013","75-0132","Thap Muoi","M",39,2,"1","SecondarySchool",200,17,1,"13681.81818","0.882352941","0.28",5,2150000,"194",4,"0.03","0.020100503",1,1,"1.55",26515000,"2.420407637","0.707637186","NA","145.6927654",5
"30","75-013","75-0133","Thap Muoi","M",39,2,"1","SecondarySchool",150,20,1,"14630.30303","1","0.1",2,1600000,"120",3,"0.2","0.142857143",1,1,"1.5",14696000,"0.60034847","0.375136091","80000","249.4331066",2
"31","75-014","75-0141","Thap Muoi","M",51,2,"5","PrimarySchool",300,17,1,"11517.64706","1","0.39",6,3600000,"200",3,"0.33","0.126637555",1,1,"1.4",18410000,"0.874859971","0.466626833","75000","811.0276688",7
"32","75-014","75-0142","Thap Muoi","M",51,2,"5","PrimarySchool",306,25,1,"11466.66667","0.72","0.08",2,3600000,"50",2,"0.84","0.8",1,1,"1.9",6640000,"-0.312430104","-0.45439759","25000","95.69457414",2
"33","75-015","75-0151","Thap Muoi","M",24,2,"2","SecondarySchool",204,17,1,"10917.64706","1","0.18",3,2400000,"156",3,"0.15","0",1,1,"1.3",13000000,"0.692179527","0.409046154","20000","495.8410379",3
"34","75-015","75-0152","Thap Muoi","M",24,2,"2","SecondarySchool",102,15,1,"10906.66667","1","0.13",1,1100000,"74",1,"0.22","0.058823529",1,1,"1.3",7430000,"0.37376352","0.272072678","15000","885.2923885",2
"35","75-016","75-0161","Thap Muoi","M",56,1,"3","HighSchool",200,21,1,"11295.2381","0.952380952","0.27",5,2400000,"160",3,"0.15","0",0,1,"2",21200000,"1.289268514","0.563179245","70500","353.2274288",6
"36","75-016","75-0162","Thap Muoi","M",56,1,"3","HighSchool",200,15,1,"34887.5","0.933333333","0.4",4,2200000,"185",3,"0.05","0.025510204",1,1,"1.5",20000000,"1.858899038","0.650215","NA","325.0915699",6
"37","75-018","75-0181","Thap Muoi","M",38,2,"1","PrimarySchool",337,23,1,"10666.66667","0.173913043","0.08",2,4520000,"80",5,"0.76","0.2",0,1,"1.5",8100000,"-0.42026911","-0.724938272","1210000","327.6586943",2
"38","75-019","75-0191","Thap Muoi","M",47,2,"3","HighSchool",102,15,0,"10800","0.4","0.4",6,1200000,"76",4,"0.25","0.164835165",1,1,"1.3",5480000,"-0.088211641","-0.096745742","27666.66667","903.9126057",6
"39","75-019","75-0192","Thap Muoi","M",47,2,"3","HighSchool",300,17,0,"11022.22222","1.058823529","0.59",7,3000000,"250",6,"0.17","0.11971831",1,1,"1.2",14600000,"0.399137518","0.285273973","195000","273.6070281",10
"40","75-020","75-0201","Thap Muoi","M",49,2,"2","PrimarySchool",700,18,1,"11306.66667","0.555555556","0.17",3,8600000,"640",6,"0.04","0.018404908",1,0,"1.5",63819000,"2.822191256","0.738369973","272666.6667","207.6471838",3
"41","75-020","75-0202","Thap Muoi","M",49,2,"2","PrimarySchool",300,20,1,"11435.29412","0.85","0.05",1,3750000,"240",4,"0.05","0.017241379",1,0,"1.4",23200000,"1.464781251","0.594284483","60000","211.6402117",1
"42","75-021","75-0211","Thap Muoi","M",46,2,"3","PrimarySchool",600,20,1,"11447.61905","1.05","0.27",4,7200000,"476",5,"0.21","0.008333333",1,1,"1.9",60441500,"2.737770916","0.732460864","666666.6667","564.2345996",6
"43","75-021","75-0212","Thap Muoi","M",46,2,"3","PrimarySchool",511,22,0,"11121.73913","1.045454545","0.38",6,5500000,"453",5,"0.11","0.006578947",1,1,"1.4",47475000,"2.229000952","0.690306688","314000","210.3466412",9
"44","75-021","75-0213","Thap Muoi","M",46,2,"3","PrimarySchool",710,23,1,"10960","1.086956522","0.48",7,4900000,"400",5,"0.44","0.298245614",1,1,"1.7",50625000,"2.373104315","0.703537185","88000","110.1206961",12
"45","75-021","75-0214","Thap Muoi","M",46,2,"3","PrimarySchool",306,21,0,"10876.19048","1","0.19",2,3300000,"81",5,"0.71","0",1,1,"1.6",11100000,"0.088267302","0.081108108","NA","112.6748109",4
"46","75-022","75-0221","Thap Muoi","M",47,2,"2","HighSchool",400,21,0,"11240","0.952380952","0.14",2,4400000,"300",5,"0.25","0",1,0,"1.5",33525000,"1.802859293","0.643221477","NA","203.4193241",3
"47","75-022","75-0222","Thap Muoi","M",47,2,"2","HighSchool",714,20,0,"11440","1","0.32",6,6200000,"572",5,"0.2","0.032094595",1,0,"1.61",64478000,"3.303970683","0.76765641","408000","154.0476635",7
"48","75-022","75-0223","Thap Muoi","M",47,2,"2","HighSchool",612,18,0,"11244.44444","1","0.26",3,7200000,"437",7,"0.29","0.028888889",1,1,"1.5",60230000,"2.559324538","0.719047817","NA","250.1180035",5
"49","75-023","75-0231","Thap Muoi","M",43,1,"2","SecondarySchool",230,17,1,"11442.10526","1","0.47",5,2200000,"59",5,"0.74","0.709359606",1,1,"1.3",5400000,"-0.455343184","-0.836018519","610000","640.8531291",9
"50","75-025","75-0251","Thap Muoi","M",50,1,"3","HighSchool",300,21,1,"11076.19048","0","0.57",8,3600000,"250",7,"0.12","0",1,0,"1.5",25625000,"1.263978577","0.558299707","12000","99.91789639",16
"51","75-026","75-0261","Thap Muoi","M",49,2,"5","HighSchool",250,19,1,"13659.25926","1","0.21",3,3000000,"238",5,"0.05","0",1,1,"2.2",30790000,"1.648830007","0.622474829","NA","372.8988889",4
"52","75-026","75-0262","Thap Muoi","M",49,1,"5","HighSchool",100,17,1,"12909.09091","1","0.12",2,800000,"98",5,"0.02","0.01010101",0,1,"2",13720000,"0.583929808","0.368658892","NA","265.54626",2
"53","75-027","75-0271","Thap Muoi","F",56,2,"3","SecondarySchool",714,20,1,"10220","0.25","0.1",2,7700000,"670",3,"0.06","0",1,1,"1.8",80730000,"4.114673087","0.804484083","980000","69.91944064",2
"54","75-027","75-0272","Thap Muoi","F",56,2,"3","SecondarySchool",450,20,1,"10220","0.25","0.1",2,4500000,"365",3,"0.19","0.013513514",1,1,"1.5",36445000,"2.077475195","0.675058307","335000","121.086515",2
"55","75-027","75-0273","Thap Muoi","F",56,2,"3","SecondarySchool",700,23,1,"10347.82609","0.217391304","0.09",2,5600000,"683",3,"0.03","0.002919708",1,1,"1.87",95662000,"5.341531323","0.842309381","1120000","59.91836123",2
"56","75-027","75-0274","Thap Muoi","F",56,2,"3","SecondarySchool",800,19,1,"13520","0.263157895","0.11",2,8800000,"740",3,"0.08","0",1,1,"1.6",83230000,"2.929650614","0.74552445","230000","65.50732935",2
"57","75-028","75-0281","Thap Muoi","M",63,2,"1","HighSchool",204,18,1,"14609.52381","0.666666667","0.17",2,2200000,"149",4,"0.27","0",1,1,"1.7",15842000,"0.452927959","0.311734629","195000","206.0781544",3
"58","75-028","75-0282","Thap Muoi","M",63,2,"1","HighSchool",204,17,1,"13790.90909","0.882352941","0.18",3,2000000,"92",4,"0.54","0.020833333",1,1,"1.6",9111000,"-0.131513726","-0.151428676","116666.6667","447.222608",3
"59","75-028","75-0283","Thap Muoi","M",63,2,"1","HighSchool",204,17,1,"13180.95238","0.588235294","0.12",2,2400000,"194",4,"0.04","0",0,1,"1.9",25802000,"1.509848934","0.601569646","NA","43.67894882",2
"60","75-029","75-0291","Thap Muoi","M",54,2,"3","SecondarySchool",220,24,1,"11300","0.291666667","0.2",3,470000,"187",5,"0.15","0.100961538",1,1,"2.92",41400000,"3.579063504","0.781614734","548000","662.7261264",5
"61","75-029","75-0292","Thap Muoi","M",54,2,"3","SecondarySchool",142,20,1,"11600","0.25","0.1",2,1680000,"47",2,"0.67","0.364864865",1,1,"1.7",6400000,"-0.069117989","-0.07425","90000","27.41102837",2
"62","75-029","75-0293","Thap Muoi","M",54,2,"3","SecondarySchool",204,16,1,"10800","1","0.25",3,2400000,"155",3,"0.09","0.026315789",1,1,"1.6",19848000,"1.651703407","0.622883918","NA","819.4297287",4
"63","75-029","75-0294","Thap Muoi","M",54,2,"3","SecondarySchool",200,15,1,"10920","1","0.13",2,2200000,"138",3,"0.31","0",1,1,"1.5",14490000,"1.121678014","0.528674948","NA","157.3269443",2
"64","75-030","75-0301","Thap Muoi","M",38,1,"1","SecondarySchool",207,23,1,"11078.26087","0.130434783","0.27",5,2600000,"187",6,"0.09","0.005291005",0,1,"1.59",21061500,"1.014856837","0.503686822","NA","217.8084921",7
"65","75-030","75-0302","Thap Muoi","M",38,2,"1","SecondarySchool",204,21,1,"10990.47619","0.333333333","0.1",2,2000000,"185",6,"0.09","0.005376344",1,1,"1.6",20555000,"1.198125364","0.545066894","48000","312.3276601",2
"66","75-030","75-0303","Thap Muoi","M",38,2,"1","SecondarySchool",255,22,1,"11261.53846","0.227272727","0.43",8,3000000,"141",6,"0.44","0.398305085",1,1,"1.5",16889000,"0.311542882","0.237539227","NA","156.2676833",10
"67","75-031","75-0311","Thap Muoi","F",58,1,"5","HighSchool",400,15,0,"11493.33333","1","0.13",1,4400000,"80",4,"0.76","0.689655172",1,1,"1.7",8970000,"-0.286623191","-0.401783724","2420000","123.6783565",2
"68","75-031","75-0312","Thap Muoi","F",58,2,"5","HighSchool",300,18,0,"14816.66667","0.722222222","0.17",3,2400000,"135",4,"0.5","0.496644295",0,1,"1.7",15307000,"0.147451274","0.128503299","115000","542.1976875",3
"69","75-031","75-0313","Thap Muoi","F",58,1,"5","HighSchool",200,18,1,"11357.89474","1.055555556","0",0,2200000,"150",3,"0.05","0",1,1,"1.6",16653000,"0.964492155","0.490962589","120000","0",0
"70","75-032","75-0321","Thap Muoi","M",35,1,"3","HighSchool",550,17,1,"10800","0.294117647","0.12",1,5500000,"21",2,"0.97","0.942408377",1,1,"1.2",2000000,"-0.835146719","-5.066","440000","541.7771048",2
"71","75-033","75-0331","Thap Muoi","F",48,2,"2","SecondarySchool",102,15,1,"11500","0.4","0.13",2,1100000,"80",3,"0.22","0.069767442",1,1,"1.5",8630000,"0.573381951","0.364426419","NA","986.2113088",2
"72","75-033","75-0332","Thap Muoi","F",48,2,"2","SecondarySchool",110,17,1,"13164","0.941176471","0.12",2,1100000,"90",5,"0.15","0.103773585",1,1,"1.3",7584000,"0.128067827","0.113528481","255000","706.006308",2
"73","75-033","75-0333","Thap Muoi","F",48,2,"2","SecondarySchool",150,16,1,"14113.04348","0.75","0",0,1650000,"90",4,"0.4","0",1,1,"2",12020000,"0.630936228","0.386855241","NA","0",0
"74","75-034","75-0341","Thap Muoi","M",34,1,"1","HighSchool",500,20,0,"11280","1","0.23",4,6000000,"420",4,"0.16","0",1,1,"1.5",47250000,"1.710397083","0.63105037","4211000","499.9954466",5
"75","75-035","75-0351","Thap Muoi","M",27,1,"1","SecondarySchool",300,25,1,"11488","0.92","0.19",2,3600000,"95",3,"0.62","0.600694444",0,1,"1.4",8860000,"-0.254020376","-0.340519187","370000","927.737914",5
"76","75-036","75-0361","Thap Muoi","M",41,2,"3","SecondarySchool",300,19,1,"12000","1","0.16",2,3600000,"275",3,"0.07","0.031690141",1,1,"1.6",29540000,"1.323605758","0.569634394","2570000","1172.514002",3
"77","75-038","75-0381","Thap Muoi","M",67,2,"7","SecondarySchool",408,19,1,"11400","0.578947368","0.21",4,5200000,"373",3,"0.09","0.0675",0,1,"1.8",44785000,"3.141582281","0.758546388","770000","250.1010953",4
"78","75-039","75-0391","Thap Muoi","M",41,1,"2","HighSchool",300,19,0,"11433.33333","0.947368421","0.32",5,3600000,"180",5,"0.4","0.274193548",1,1,"1.5",17700000,"0.696621136","0.41059322","104000","288.9278076",6
"79","75-039","75-0392","Thap Muoi","M",41,2,"2","HighSchool",300,21,0,"11437.5","0.761904762","0.33",7,3000000,"95",5,"0.68","0.62745098",1,0,"1.6",10148000,"0.103943432","0.094156484","96000","271.2119748",7
"80","75-039","75-0393","Thap Muoi","M",41,1,"2","HighSchool",300,19,0,"11431.57895","1","0.26",5,3300000,"263",4,"0.12","0.029520295",0,0,"1.7",31030000,"2.060459611","0.673251692","72000","290.1975068",5
"81","75-040","75-0401","Thap Muoi","M",64,2,"5","SecondarySchool",200,16,1,"11400","0.9375","0.19",3,2600000,"169",3,"0.16","0.066298343",1,1,"1.3",14330000,"0.801881098","0.445024424","530000","421.8594076",3
"82","75-040","75-0402","Thap Muoi","M",64,2,"5","SecondarySchool",120,15,1,"10850","0.8","0.07",1,1200000,"109",4,"0.02","0",1,1,"1.4",10600000,"1.064666926","0.515660377","351000","21.14287829",1
"83","75-040","75-0403","Thap Muoi","M",64,1,"5","SecondarySchool",200,13,1,"10923.07692","1","0.15",2,2000000,"169",2,"0.15","0.12371134",1,1,"1.3",15300000,"1.414772727","0.585882353","165000","28.47512005",2
"84","75-041","75-0411","Thap Muoi","M",56,2,"2","PrimarySchool",100,20,1,"11152.94118","0.85","0.15",1,1300000,"84",5,"0.02","0.02",0,1,"1.7",10339000,"0.540937917","0.351044588","290000","334.3915344",3
"85","75-041","75-0412","Thap Muoi","M",56,2,"2","PrimarySchool",103,15,1,"10876.92308","0.866666667","0.13",1,800000,"59",3,"0.34","0",0,1,"1.6",6127000,"0.342845245","0.255312551","NA","406.3857354",2
"86","75-041","75-0413","Thap Muoi","M",56,2,"2","PrimarySchool",102,18,1,"10842.85714","0.777777778","0",0,1200000,"50",5,"0.22","0",1,1,"1.6",6400000,"0.199319386","0.16619375","NA","0",0
"87","75-043","75-0431","Thap Muoi","F",51,1,"3","HighSchool",150,18,1,"11477.77778","0","0.48",8,1650000,"138",5,"0.08","0",0,0,"1.4",14420000,"0.426310584","0.29889043","1458000","824.7484267",10
"88","75-044","75-0441","Thap Muoi","F",54,2,"3","PrimarySchool",102,19,1,"11800","0.526315789","0",0,1000000,"48",3,"0.29","0",1,1,"1.5",5385000,"0.217251746","0.178477252","124000","0",0
"89","75-044","75-0442","Thap Muoi","F",54,2,"3","PrimarySchool",170,13,1,"11233.33333","0.923076923","0.33",4,1360000,"65",2,"0.57","0",1,1,"1.9",9253000,"0.820095204","0.450578191","NA","1767.200216",5
"90","75-044","75-0443","Thap Muoi","F",54,2,"3","PrimarySchool",100,16,1,"11400","0.625","0.37",6,1200000,"84",1,"0.16","0.115789474",1,1,"1.7",11520000,"1.663275922","0.624522569","NA","311.8007185",7
"91","75-045","75-0451","Thap Muoi","F",29,2,"2","SecondarySchool",250,20,0,"11210.52632","0.95","0.1",2,2500000,"56",5,"0.78","0",1,1,"1.5",5100000,"-0.392712551","-0.646666667","NA","341.2158515",2
"92","75-045","75-0452","Thap Muoi","F",29,1,"2","SecondarySchool",450,16,0,"10800","0.1875","0.06",1,6000000,"300",4,"0.22","0.125",1,1,"1.3",30000000,"1.708559047","0.6308","NA","352.7336861",1
"93","75-045","75-0453","Thap Muoi","F",29,1,"2","SecondarySchool",300,15,0,"10853.33333","0.133333333","0",0,3600000,"NA",3,"0.23","0.178571429",1,1,"1.3",1,"-0.999999869","-7624999","NA","0",0
"94","75-046","75-0461","Thap Muoi","M",67,2,"2","SecondarySchool",250,19,1,"10800","1","0.05",1,2500000,"168",4,"0.28","0",1,1,"1.8",19300000,"1.279572433","0.561321244","NA","267.3350042",1
"95","75-046","75-0462","Thap Muoi","M",67,2,"2","SecondarySchool",200,16,1,"11000","1","0.13",2,1600000,"90",2,"0.5","0.230769231",1,1,"1.4",10458000,"0.569681051","0.362927902","NA","436.6711447",2
"96","75-046","75-0463","Thap Muoi","M",67,2,"2","SecondarySchool",250,20,1,"10800","1","0.14",3,2750000,"180",4,"0.2","0.166666667",1,1,"1.7",23868000,"1.5039209","0.600626362","185000","70.02651113",3
"97","75-046","75-0464","Thap Muoi","M",67,2,"2","SecondarySchool",300,18,1,"10800","1","0.21",4,3000000,"120",4,"0.6","0.52",1,1,"1.6",14976000,"0.644765383","0.39201055","NA","64.99220557",4
"98","75-047","75-0471","Thap Muoi","M",54,2,"3","PrimarySchool",600,21,0,"11228.57143","1","0.14",3,6000000,"500",3,"0.08","0",1,1,"1.6",53250000,"2.982797307","0.748920188","410000","230.9264869",3
"99","75-047","75-0472","Thap Muoi","M",54,1,"3","PrimarySchool",600,20,0,"11300","1","0.2",4,4800000,"390",3,"0.32","0.1875",1,1,"1.6",40970000,"2.32683719","0.699414206","NA","265.5679817",4
"100","75-047","75-0473","Thap Muoi","M",54,2,"3","PrimarySchool",350,17,0,"11235.29412","1","0.06",1,3500000,"330",4,"0.06","0",1,1,"1.5",34650000,"2.77245509","0.734920635","NA","32.01280512",1
